DATE-OBS,Target Flux,Target Flux Error,Rescaled Ref Fluxes,r,r error,TrES Norm,TrES Norm error
2460220.6311386805,49672.0,265.6523,15004.553642543215,3.310461689387568,0.02562787073284372,0.980664613716164,0.007591794834285314
2460220.631550984,50899.06,266.2128,14839.93480849776,3.4298708624281677,0.02645925351459565,1.016037429214805,0.007838077000042035
2460220.6319631827,49937.89,265.8117,14855.242231966959,3.361634177363919,0.026107189375564815,0.9958235410389288,0.007733784343820462
2460220.6323734145,50246.8,265.3728,14747.475046486026,3.407145958315937,0.026454777272903837,1.0093055859240645,0.007836750994112508
2460220.6327818055,50457.04,264.697,14828.20141667321,3.4027754669736825,0.026226675469112566,1.008010906629741,0.007769179945633071
2460220.633190706,49784.65,265.2753,14720.79235495146,3.381927331055283,0.02637895974712225,1.0018350220929524,0.007814291418497462
2460220.6335955095,49924.61,265.1064,14465.496622760553,3.451289043298158,0.02712530387189486,1.0223821792950447,0.008035382414706773
2460220.6340077776,50277.9,263.354,14744.366290171525,3.409973613685577,0.02627410866125436,1.010143227866782,0.0077832311739551435
2460220.6344194096,49515.0,265.4145,14605.273490131362,3.390213817869059,0.026637354833230514,1.0042897444709054,0.007890836305912061
2460220.6348217707,49948.02,263.6706,14505.972626347968,3.4432727323141887,0.026874275141231273,1.0200074916375124,0.007961019677334813
2460220.6352238194,49946.77,264.8431,14537.26556305053,3.435774753056039,0.026896071552338953,1.0177863504122817,0.00796747647130643
2460220.6356262383,52818.86,269.09,15775.61853990089,3.348132427670366,0.024835614215464746,0.991823891023293,0.007357103119208164
2460220.6360285995,54211.51,268.9755,16017.359578792586,3.384547230354839,0.024602095586058248,1.0026111200441266,0.007287927433763269
2460220.636430764,53763.11,269.3911,16201.38824986239,3.318426123172294,0.02410027234384533,0.9830239336883613,0.007139271342210805
2460220.6368348496,53539.43,268.7839,16108.550835348417,3.323665210312631,0.024206086869336674,0.9845759188338696,0.007170616988378281
2460220.6372370254,53597.95,269.2894,16143.370037006027,3.3201215035730143,0.024190478401954967,0.9835261595776095,0.007165993261215193
2460220.6376392595,54630.66,270.4565,16134.73205866216,3.3859043832507125,0.024553404368331432,1.0030131521306636,0.007273503538034009
2460220.6380468057,54601.01,269.9654,15991.920587047778,3.414287214771602,0.024839150762901455,1.0114210544479847,0.007358150757649964
2460220.638451632,54016.2,269.912,16107.171606156058,3.3535496684815445,0.02441753101666179,0.9934286509830691,0.007233253506337046
2460220.6388571877,53902.38,269.8645,16044.318829548552,3.3595929233672974,0.02454311338841672,0.9952188563302942,0.007270455020700256
2460220.639265185,53855.77,270.2929,16007.38284508153,3.364433181939411,0.024652669385098535,0.99665269570023,0.00730290901027841
2460220.639672639,54590.07,268.9541,16159.544569693455,3.3781935972614834,0.024349425836415146,1.0007289707465938,0.007213078574093381
2460220.6400827314,53924.91,269.7676,16191.993879411657,3.330344020730286,0.02419662011263677,0.9865543960533191,0.007167812632317609
2460220.640490428,54529.95,268.8491,15989.16871272402,3.410430584587278,0.024733832545704364,1.010278597260795,0.007326952133870099
2460220.640900046,53770.23,269.2552,15882.42226764774,3.385518222212815,0.024836841479448504,1.0028987588826537,0.00735746667404537
2460220.641311308,53979.83,269.0408,16069.262863834485,3.359197646924248,0.024428792298209885,0.9951017628077874,0.0072365894580427295
2460220.6417221758,54425.12,270.2848,16267.898476160306,3.34555321203639,0.02419365885080481,0.9910598448748382,0.00716693541186831
2460220.6421242594,53638.97,269.3414,16132.863376382405,3.3248263961947635,0.024231454162486316,0.9849198992243405,0.007178131591799721
2460220.6425318867,53716.04,270.1673,15896.50293896335,3.379110500356562,0.024873643547825768,1.0010005867639102,0.007368368623548317
2460220.6429341203,54270.62,270.3328,15977.793548426314,3.396627940867669,0.024829635479716436,1.0061898128127094,0.007355332026492631
2460220.643346412,53565.48,270.0994,15901.904895229194,3.368494551622582,0.024818282115056732,0.997855803274099,0.007351968796824673
2460220.6437570024,53958.85,269.9181,15880.033123300926,3.397905380992289,0.02494785482406337,1.006568231427361,0.007390352376684091
